[AR]	[1]		(to get right - acertar) I get right = acierto
[IR]	[5]		(to	feel - sentir) You all feel = sentís
[IR]	[6]		(to	feel - sentir) They feel = sienten
[ER]	[1]		(to	turn on - encender) I turn on = enciendo
[ER]	[2]		(to	turn on - encender) You turn on = enciendes
[ER]	[3]		(to	turn on - encender) He/She/It turns on = enciende
[ER]	[4]		(to	turn on - encender) We turn on = encendemos
[ER]	[5]		(to	turn on - encender) You all turn on = encendéis
[ER]	[6]		(to	turn on - encender) They turn on = encienden
[IR]	[1]		(to	suggest - sugerir) I suggest = sugiero
[IR]	[2]		(to	suggest - sugerir) You suggest = sugieres
[IR]	[3]		(to	suggest - sugerir) He/She/It suggests = sugiere
[IR]	[4]		(to	suggest - sugerir) We suggest = sugerimos
[IR]	[5]		(to	suggest - sugerir) You all suggest = sugerís
[IR]	[6]		(to	suggest - sugerir) They suggest = sugieren
[ER]	[1]		(to	understand - entender) I understand = entiendo
[ER]	[2]		(to	understand - entender) You understand = entiendes
[ER]	[3]		(to	understand - entender) He/She/It understands = entiende
[ER]	[4]		(to	understand - entender) We understand = entendemos
[ER]	[5]		(to	understand - entender) You all understand = entendéis
[ER]	[6]		(to	understand - entender) They understand = entienden
[AR]	[1]		(to	scrub - fregar) I scrub = friego
[AR]	[2]		(to	scrub - fregar) You scrub = friegas
[AR]	[3]		(to	scrub - fregar) He/She/It scrubs = friega
[AR]	[4]		(to	scrub - fregar) We scrub = fregamos
[AR]	[5]		(to	scrub - fregar) You all scrub = fregáis
[AR]	[6]		(to	scrub - fregar) They scrub = friegan
[AR]	[1]		(to	stumble - tropezar) I stumble = tropiezo
[AR]	[2]		(to	stumble - tropezar) You stumble = tropiezas
[AR]	[3]		(to	stumble - tropezar) He/She/It stumbles = tropieza
[AR]	[4]		(to	stumble - tropezar) We stumble = tropezamos
[AR]	[5]		(to	stumble - tropezar) You all stumble = tropezáis
[AR]	[6]		(to	stumble - tropezar) They stumble = tropiezan
[AR]	[1]		(to	tremble - temblar) I tremble = tiemblo
[AR]	[2]		(to	tremble - temblar) You tremble = tiemblas
[AR]	[3]		(to	tremble - temblar) He/She/It trembles = tiembla
[AR]	[4]		(to	tremble - temblar) We tremble = temblamos
[AR]	[5]		(to	tremble - temblar) You all tremble = tembláis
[AR]	[6]		(to	tremble - temblar) They tremble = tiemblan
